gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints						
1	Rapid	Mattersburg	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
1	WAC	Salzburg	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
1	LASK	Admira	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
1	Altach	Austria	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
1	Graz	SKN	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
2	Salzburg	LASK	U	2	0	2	3	0	3	0	0	0	2	0	2	3	0	3	0	0	0	3	3	3	3						
2	Mattersburg	WAC	S	2	0	2	0	2	-2	0	0	0	2	2	0	0	2	-2	0	0	0	1	0	1	0						
2	SKN	Rapid	N	2	0	2	2	2	0	0	0	0	2	3	-1	2	2	0	0	0	0	0	1	0	1						
2	Austria	Graz	N	0	0	0	3	2	1	0	0	0	0	3	-3	3	2	1	0	0	0	0	3	0	3						
2	Admira	Altach	S	0	0	0	3	0	3	0	0	0	0	3	-3	3	0	3	0	0	0	0	3	0	3						
3	LASK	SKN	S	2	0	2	1,5	3,5	-2	3	0	3	1	1	0	1	4	-3	2	3	-1	4	0	2	0						
3	Salzburg	Admira	S	1,5	0,5	1	2	2	0	1	1	0	2	0	2	4	1	3	0	3	-3	4	3	2	1,5						
3	WAC	Altach	S	0	1	-1	2	2	0	0	2	-2	0	1	-1	3	0	3	1	4	-3	0	3	0	1,5						
3	Rapid	Austria	U	3	1	2	1	3	-2	2	2	0	4	1	3	2	3	-1	0	3	-3	4	0	2	0						
3	Mattersburg	Graz	N	1,5	0	1,5	3	2	1	1	0	1	2	2	0	3	2	1	3	2	1	4	6	2	3						
4	Altach	Salzburg	N	1,333333333	0	1,333333333	2,666666667	0,666666667	2	3	0	3	0,5	2,5	-2	3	1	2	2	0	2	3	7	1	2,333333333						
4	SKN	Mattersburg	U	1	1,333333333	-0,333333333	1,666666667	1,666666667	0	1	4	-3	1	2,5	-1,5	1,5	1,5	0	2	2	0	0	4	0	1,333333333						
4	Austria	LASK	S	1,333333333	1	0,333333333	2	0,333333333	1,666666667	2	3	-1	1	2,5	-1,5	2,5	0	2,5	1	1	0	1	7	0,333333333	2,333333333						
4	Graz	WAC	S	3	0,666666667	2,333333333	0,333333333	1	-0,666666667	3	2	1	3	2	1	0,5	1	-0,5	0	1	-1	9	3	3	1						
4	Admira	Rapid	S	1,666666667	0,333333333	1,333333333	2,666666667	1,666666667	1	4	1	3	0,5	4	-3,5	2	2	0	4	1	3	3	5	1	1,666666667						
5	Rapid	Graz	N	2,25	1	1,25	2,75	1,75	1	2	2	0	2,5	2	0,5	2,5	1,5	1	3	2	1	5	12	1,25	3						
5	WAC	Admira	S	0,5	0,5	0	2	2,5	-0,5	0,5	1	-0,5	0,5	1,5	-1	3,5	1	2,5	0,5	4	-3,5	3	6	0,75	1,5						
