gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints
1	Rapid	Mattersburg	U	0	0	0	0	0	0	0	0	0	0
1	WAC	Salzburg	N	0	0	0	0	0	0	0	0	0	0
1	LASK	Admira	S	0	0	0	0	0	0	0	0	0	0
1	Altach	Austria	S	0	0	0	0	0	0	0	0	0	0
1	Graz	SKN	S	0	0	0	0	0	0	0	0	0	0
2	Salzburg	LASK	U	2	3	0	2	3	0	3	3	3	3
2	Mattersburg	WAC	S	2	-2	0	0	-2	0	1	0	1	0
2	SKN	Rapid	N	2	0	0	-1	0	0	0	1	0	1
2	Austria	Graz	N	0	1	0	-3	1	0	0	3	0	3
2	Admira	Altach	S	0	3	0	-3	3	0	0	3	0	3
3	LASK	SKN	S	2	-2	3	0	-3	-1	4	0	2	0
3	Salzburg	Admira	S	1	0	0	2	3	-3	4	3	2	1,5
3	WAC	Altach	S	-1	0	-2	-1	3	-3	0	3	0	1,5
3	Rapid	Austria	U	2	-2	0	3	-1	-3	4	0	2	0
3	Mattersburg	Graz	N	1,5	1	1	0	1	1	4	6	2	3
4	Altach	Salzburg	N	1,333333333	2	3	-2	2	2	3	7	1	2,333333333
4	SKN	Mattersburg	U	-0,333333333	0	-3	-1,5	0	0	0	4	0	1,333333333
4	Austria	LASK	S	0,333333333	1,666666667	-1	-1,5	2,5	0	1	7	0,333333333	2,333333333
4	Graz	WAC	S	2,333333333	-0,666666667	1	1	-0,5	-1	9	3	3	1
4	Admira	Rapid	S	1,333333333	1	3	-3,5	0	3	3	5	1	1,666666667
5	Rapid	Graz	N	1,25	1	0	0,5	1	1	5	12	1,25	3
5	WAC	Admira	S	0	-0,5	-0,5	-1	2,5	-3,5	3	6	0,75	1,5
5	Salzburg	SKN	S	1,75	-1,5	2	1,5	-1,5	-1,5	10	1	2,5	0,25
5	LASK	Altach	U	1,5	-0,5	2,5	-1	1	-2	7	3	1,75	0,75
5	Mattersburg	Austria	N	0,5	-0,5	0	0	0,5	-1,5	5	4	1,25	1
6	WAC	SKN	S	0,4	-2	0,333333333	-1	-1,5	-2,333333333	6	1	1,2	0,2
6	Rapid	LASK	S	0,8	0,6	-0,333333333	0,5	1,666666667	-1	5	8	1	1,6
6	Graz	Salzburg	S	2	2,2	1	1	2,666666667	1,5	15	13	3	2,6
6	Altach	Mattersburg	S	0,6	-0,4	1	-1,333333333	-0,666666667	0	4	5	0,8	1
6	Admira	Austria	N	1,2	0	2,5	-3	0,5	-0,333333333	6	7	1,2	1,4
7	LASK	Graz	S	1	1	1,666666667	-1	1	1	8	18	1,333333333	3
7	SKN	Altach	N	0,166666667	-0,166666667	-1,5	-2	1	-1,333333333	1	7	0,166666667	1,166666667
7	Austria	WAC	U	1,5	0	0,5	0,25	0,5	-1	10	9	1,666666667	1,5
7	Mattersburg	Admira	N	0	-1	-0,666666667	-0,333333333	1	-3	5	6	0,833333333	1
7	Salzburg	Rapid	U	1,833333333	0,166666667	2,666666667	0,666666667	0	0,5	13	8	2,166666667	1,333333333
8	Altach	Rapid	U	0,857142857	0,142857143	1	-0,75	0	0,333333333	10	9	1,428571429	1,285714286
8	Admira	Graz	S	1,285714286	0,714285714	1	-1	1	0,5	9	18	1,285714286	2,571428571
8	WAC	LASK	U	0,714285714	0,428571429	0,5	-0,666666667	1,5	-1	10	11	1,428571429	1,571428571
8	Mattersburg	Salzburg	N	-0,714285714	1,428571429	-1,75	-0,333333333	2	0,666666667	5	14	0,714285714	2
8	Austria	SKN	S	1,285714286	-1,714285714	0,333333333	0,25	-1,333333333	-2	11	1	1,571428571	0,142857143
9	Rapid	WAC	S	1,125	0	0	0,25	0,4	-0,666666667	10	11	1,25	1,375
9	SKN	Admira	U	0,125	0	-1,333333333	-2,4	1	-1	1	12	0,125	1,5
9	Graz	Altach	U	1,625	0	1	0,2	0,75	-0,75	18	11	2,25	1,375
9	LASK	Mattersburg	U	0,875	-1,125	1,5	-0,75	-1,6	-0,333333333	12	5	1,5	0,625
9	Salzburg	Austria	U	1,625	0,75	2	0,75	1,25	0,25	17	14	2,125	1,75
10	SKN	Graz	N	0,111111111	0,444444444	-1	-2,4	0,75	0,2	2	19	0,222222222	2,111111111
10	Admira	LASK	S	1,222222222	0,333333333	1	-0,8	1,2	-0,75	13	13	1,444444444	1,444444444
10	Mattersburg	Rapid	N	-0,444444444	0,333333333	-1,6	-0,25	0,4	0,25	6	13	0,666666667	1,444444444
10	Austria	Altach	S	1,444444444	0	1,25	0,2	0,75	-0,6	15	12	1,666666667	1,333333333
10	Salzburg	WAC	S	1,444444444	-0,222222222	1,6	0,75	0,4	-1	18	11	2	1,222222222
11	LASK	Salzburg	N	0,9	1,2	1,2	-1	1,5	0,75	13	21	1,3	2,1
11	WAC	Mattersburg	U	0,8	-1	0,4	-1	-1,5	-0,25	11	6	1,1	0,6
11	Altach	Admira	U	0,6	0,2	0,75	-0,833333333	1,2	-0,8	12	16	1,2	1,6
11	Rapid	SKN	S	1,2	-1,9	0,4	0,4	-1,4	-2,4	16	2	1,6	0,2
11	Graz	Austria	S	1,6	0,8	0,75	0,666666667	1,4	0,2	22	18	2,2	1,8
12	Graz	Mattersburg	S	1,727272727	-0,909090909	1,2	0,666666667	-1,5	-0,2	25	7	2,272727273	0,636363636
12	SKN	LASK	N	-0,181818182	-0,090909091	-1,4	-2,166666667	0,666666667	-1	2	13	0,181818182	1,181818182
12	Altach	WAC	S	0,545454545	-0,272727273	0,6	-0,833333333	0,333333333	-1	13	12	1,181818182	1,090909091
12	Admira	Salzburg	U	1,363636364	1,272727273	1,2	-0,666666667	1,5	1	17	24	1,545454545	2,181818182
12	Austria	Rapid	N	1,363636364	0,454545455	1,4	-0,333333333	0,5	0,4	18	19	1,636363636	1,727272727
13	Rapid	Admira	S	1,166666667	0,166666667	0,5	0,5	1	-0,666666667	22	18	1,833333333	1,5
13	Mattersburg	SKN	U	-0,083333333	-1,75	-1,5	-0,333333333	-1,333333333	-2,166666667	7	2	0,583333333	0,166666667
13	Salzburg	Altach	S	1,5	-0,083333333	1,5	0,833333333	0,666666667	-0,833333333	25	16	2,083333333	1,333333333
13	LASK	Austria	U	0,666666667	0,333333333	0,666666667	-0,666666667	1	-0,333333333	16	18	1,333333333	1,5
13	WAC	Graz	N	0,833333333	0,916666667	0,333333333	-1	1,166666667	0,666666667	12	28	1	2,333333333
14	Graz	Rapid	U	1,692307692	0,538461538	1,166666667	0,857142857	0,571428571	0,5	31	25	2,384615385	1,923076923
14	Altach	LASK	N	0,538461538	0	0,666666667	-1	0,571428571	-0,666666667	16	17	1,230769231	1,307692308
14	Admira	WAC	U	1,153846154	-0,461538462	1	-0,714285714	0	-1	18	12	1,384615385	0,923076923
14	Austria	Mattersburg	N	1,230769231	-0,846153846	1	-0,285714286	-1,285714286	-0,333333333	19	8	1,461538462	0,615384615
14	SKN	Salzburg	N	-0,153846154	1,230769231	-1,333333333	-1,857142857	1,571428571	0,833333333	3	28	0,230769231	2,153846154
15	LASK	Rapid	N	0,857142857	0,5	0,571428571	-0,285714286	0,571428571	0,428571429	20	26	1,428571429	1,857142857
15	Mattersburg	Altach	S	0,142857143	-0,357142857	-1,285714286	0	0,285714286	-1	11	16	0,785714286	1,142857143
15	SKN	WAC	U	-0,285714286	-0,428571429	-1,428571429	-1,857142857	0	-0,857142857	3	13	0,214285714	0,928571429
15	Austria	Admira	N	1	0,071428571	0,571428571	-0,285714286	0,857142857	-0,714285714	19	19	1,357142857	1,357142857
15	Salzburg	Graz	S	1,642857143	0,928571429	1,571428571	1	1	0,857142857	31	32	2,214285714	2,285714286
16	Graz	LASK	S	1,466666667	0,066666667	1	0,125	0,375	-0,285714286	32	20	2,133333333	1,333333333
16	Altach	SKN	S	0,333333333	-1,533333333	0,285714286	-1	-1,25	-1,857142857	16	4	1,066666667	0,266666667
16	Admira	Mattersburg	S	1,2	-0,533333333	0,857142857	-0,5	-1	0	22	14	1,466666667	0,933333333
16	WAC	Austria	N	0,533333333	0,066666667	0	-0,75	0,375	-0,285714286	14	19	0,933333333	1,266666667
16	Rapid	Salzburg	N	1,133333333	1,533333333	0,571428571	0,5	2	1	29	34	1,933333333	2,266666667
17	Graz	Admira	S	1,4375	0,25	1	0,125	1	-0,5	35	25	2,1875	1,5625
17	Salzburg	Mattersburg	S	1,9375	-0,625	2	1	-1	-0,25	37	14	2,3125	0,875
17	SKN	Austria	S	-0,25	0,125	-1,25	-2	0,375	-0,125	4	22	0,25	1,375
