contest	date	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	11.07.2017	2017	07	Di	20:30	4450	45	Hibernians FC	Red Bull Salzburg	-3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ÖFB-Cup  ÖFB-Cup	15.07.2017	2017	07	Sa	17:00	2000	4	Deutschlandsberger SC	Red Bull Salzburg	-7.000000	0.000000	3.000000	0.000000	0.000000	0.000000	3.000000	0.000000	3.000000
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	19.07.2017	2017	07	Mi	20:30	5511	4	Red Bull Salzburg	Hibernians FC	3.000000	5.000000	-3.000000	0.000000	5.000000	-3.000000	0.000000	3.000000	0.000000
Bundesliga  Bundesliga	22.07.2017	2017	07	Sa	18:30	4005	3	Wolfsberger AC	Red Bull Salzburg	-2.000000	0.000000	4.333333	0.000000	0.000000	3.000000	5.000000	0.000000	3.000000
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	26.07.2017	2017	07	Mi	18:45	12714	4	Red Bull Salzburg	HNK Rijeka	0.000000	3.750000	0.000000	3.000000	4.000000	0.000000	0.000000	3.000000	0.000000
Bundesliga  Bundesliga	29.07.2017	2017	07	Sa	16:00	10127	3	Red Bull Salzburg	LASK	0.000000	3.000000	0.000000	1.500000	4.000000	0.000000	0.000000	2.600000	0.000000
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	02.08.2017	2017	08	Mi	20:45	8118	4	HNK Rijeka	Red Bull Salzburg	0.000000	1.000000	2.500000	0.000000	0.000000	1.000000	4.000000	1.000000	2.333333
Bundesliga  Bundesliga	05.08.2017	2017	08	Sa	18:30	5032	3	Red Bull Salzburg	FC Admira Wacker Mödling	4.000000	2.142857	0.000000	1.000000	3.000000	0.000000	0.000000	2.142857	0.000000
Bundesliga  Bundesliga	12.08.2017	2017	08	Sa	16:00	5013	7	SC Rheindorf Altach	Red Bull Salzburg	-1.000000	0.000000	2.375000	0.000000	0.000000	1.750000	3.000000	0.000000	2.250000
Europa League Qualifikation  Europa League Qualifikation	17.08.2017	2017	08	Do	20:45	3338	5	FC Viitorul	Red Bull Salzburg	-2.000000	0.000000	2.222222	0.000000	0.000000	1.750000	2.600000	0.000000	2.333333
