,competition,saison,gameday,date,home_team_name,guest_team_name,home_coach,home_game_system,home_team_id,guest_coach,guest_game_system,guest_team_id,time,viewers,weekday,day,month,year,resultNumeric,homeTotalGoalsShoot,homeTotalGoalsReceived,homeTotalGoalDiff,guestTotalGoalsShoot,guestTotalGoalsReceived,guestTotalGoalDiff,homeTeamGoalsShootAtHome,homeTeamGoalsReceivedAtHome,homeTeamGoalsDiffAtHome,homeTeamGoalsShootAway,homeTeamGoalsReceivedAway,homeTeamGoalsDiffAway,guestTeamGoalsShootAtHome,guestTeamGoalsReceivedAtHome,guestTeamGoalsDiffAtHome,guestTeamGoalsShootAway,guestTeamGoalsReceivedAway,guestTeamGoalsDiffAway,hoamAvgPoints,guestAvgpoints
0,Bundesliga,2009/10,1,2009-07-18 19:30:00,SV Kapfenberg,SV Ried,Werner Gregoritsch,4-5-1,2394,Paul Gludovatz,5-4-1,266,19:30,3450,5,18,7,2009,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Bundesliga,2009/10,2,2009-07-25 19:30:00,SV Ried,Red Bull Salzburg,Paul Gludovatz,5-4-1,266,Huub Stevens,4-4-2 Raute,409,19:30,7600,5,25,7,2009,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2,Bundesliga,2009/10,3,2009-07-31 20:30:00,SC Wiener Neustadt,SV Ried,Helmut Kraft,4-4-2,17444,Paul Gludovatz,5-4-1,266,20:30,2700,4,31,7,2009,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
3,Bundesliga,2009/10,4,2009-09-08 19:30:00,SV Ried,SK Rapid Wien,Paul Gludovatz,5-4-1,266,Peter Pacult,4-4-2 doppel 6,170,19:30,7600,1,8,9,2009,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,Bundesliga,2009/10,5,2009-08-21 20:30:00,SK Austria Kärnten,SV Ried,Frenkie Schinkels,4-5-1,11609,Paul Gludovatz,3-4-2-1,266,20:30,5079,4,21,8,2009,0,0.0,0.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.75
5,Bundesliga,2009/10,6,2009-08-30 19:30:00,SV Ried,SK Sturm Graz,Paul Gludovatz,5-4-1,266,Franco Foda,4-4-2,122,19:30,7000,6,30,8,2009,-1,0.8,0.2,0.6,0.0,0.0,0.0,1.0,0.5,0.5,0.666666667,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
6,Bundesliga,2009/10,7,2009-12-09 18:00:00,SV Mattersburg,SV Ried,Franz Lederer,4-4-2,856,Paul Gludovatz,5-4-1,266,18:00,6400,2,9,12,2009,3,0.0,0.0,0.0,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.666666667,0.666666667,0.0,0.0,1.333333333
7,Bundesliga,2009/10,8,2009-09-23 19:30:00,FK Austria Wien,SV Ried,Karl Daxbacher,4-4-2,14,Paul Gludovatz,5-4-1,266,19:30,7600,2,23,9,2009,0,0.0,0.0,0.0,0.7142857140000001,1.142857143,-0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.25,-0.75,0.0,1.142857143
8,Bundesliga,2009/10,9,2009-09-27 16:00:00,SV Ried,LASK,Paul Gludovatz,5-4-1,266,Matthias Hamann,4-4-2,413,16:00,7600,6,27,9,2009,3,0.75,0.375,0.375,0.0,0.0,0.0,1.0,1.0,0.0,0.6,1.2,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0
9,Bundesliga,2009/10,10,2009-03-10 18:00:00,LASK,SV Ried,Matthias Hamann,4-4-2 Raute,413,Paul Gludovatz,5-4-1,266,18:00,12000,1,10,3,2009,0,2.0,0.0,2.0,1.222222222,1.222222222,0.0,0.0,0.0,0.0,2.0,5.0,-3.0,2.0,1.25,0.75,0.6,1.2,-0.6,0.0,1.333333333
