contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Di	0.854166667	4450	45	Hibernians FC	Red Bull Salzburg	-3	0	0	0	0	0	0	0	0	1
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	0.708333333	2000	4	Deutschlandsberger SC	Red Bull Salzburg	-7	0	3	0	0	0	3	0	3	2
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Mi	0.854166667	5511	4	Red Bull Salzburg	Hibernians FC	3	5	-3	0	5	-3	0	3	0	3
Bundesliga  Bundesliga	2017	07	Sa	0.770833333	4005	3	Wolfsberger AC	Red Bull Salzburg	-2	0	4.333333333	0	0	3	5	0	3	4
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Mi	0.78125	12714	4	Red Bull Salzburg	HNK Rijeka	0	3.75	0	3	4	0	0	3	0	5
Bundesliga  Bundesliga	2017	07	Sa	0.666666667	10127	3	Red Bull Salzburg	LASK	0	3	0	1.5	4	0	0	2.6	0	6
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	08	Mi	0.864583333	8118	4	HNK Rijeka	Red Bull Salzburg	0	1	2.5	0	0	1	4	1	2.333333333	7
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	5032	3	Red Bull Salzburg	FC Admira Wacker Mödling	4	2.142857143	0	1	3	0	0	2.142857143	0	8
Bundesliga  Bundesliga	2017	08	Sa	0.666666667	5013	7	SC Rheindorf Altach	Red Bull Salzburg	-1	0	2.375	0	0	1.75	3	0	2.25	9
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.864583333	3338	5	FC Viitorul	Red Bull Salzburg	-2	0	2.222222222	0	0	1.75	2.6	0	2.333333333	10
Bundesliga  Bundesliga	2017	08	So	0.6875	6170	3	Red Bull Salzburg	SKN St. Pölten	4	2.3	0	1.75	2.5	0	0	2.4	0	11
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.791666667	6606	4	Red Bull Salzburg	FC Viitorul	4	2.454545455	-2	2.2	2.5	-2	0	2.454545455	0	12
Bundesliga  Bundesliga	2017	08	So	0.6875	15124	3	SK Sturm Graz	Red Bull Salzburg	1	0	2.5	0	0	2.5	2.5	0	2.5	13
Bundesliga  Bundesliga	2017	09	So	0.6875	12249	14	Red Bull Salzburg	SK Rapid Wien	0	2.384615385	0	2.5	2	0	0	2.307692308	0	14
Europa League  Europa League	2017	09	Do	0.878472222	13972	4	Vitória Guimarães SC	Red Bull Salzburg	0	0	2.071428571	0	0	2.142857143	2	0	2.214285714	15
Bundesliga  Bundesliga	2017	09	So	0.6875	2214	3	SV Mattersburg	Red Bull Salzburg	-1	0	1.933333333	0	0	2.142857143	1.75	0	2.133333333	16
ÖFB-Cup  ÖFB-Cup	2017	09	Do	0.791666667	1800	4	ASK-BSC Bruck/Leitha	Red Bull Salzburg	0	0	1.875	0	0	2.142857143	1.666666667	0	2.1875	17
Bundesliga  Bundesliga	2017	09	So	0.6875	8107	3	Red Bull Salzburg	FK Austria Wien	0	2.058823529	0	2.142857143	1.5	0	0	2.117647059	0	18
Europa League  Europa League	2017	09	Do	0.791666667	11832	4	Red Bull Salzburg	Olympique Marseille	1	1.944444444	0	1.875	1.5	0	0	2.055555556	0	19
Bundesliga  Bundesliga	2017	10	So	0.791666667	4712	3	Red Bull Salzburg	Wolfsberger AC	1	1.894736842	-2	1.777777778	1.5	-2	0	2.105263158	0	20
Bundesliga  Bundesliga	2017	10	Sa	0.666666667	5659	13	LASK	Red Bull Salzburg	-2	1	1.6	0	0	1.7	1.5	1	2.15	21
Europa League  Europa League	2017	10	Do	0.791666667	23354	5	Konyaspor	Red Bull Salzburg	-2	0	1.619047619	0	0	1.7	1.545454545	0	2.19047619	22
Bundesliga  Bundesliga	2017	10	So	0.583333333	2302	3	FC Admira Wacker Mödling	Red Bull Salzburg	0	1	1.636363636	0	-4	1.7	1.583333333	0	2.227272727	23
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	0.791666667	4100	3	TuS Bad Gleichenberg	Red Bull Salzburg	-3	0	1.565217391	0	0	1.7	1.461538462	0	2.173913043	24
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	6580	3	Red Bull Salzburg	SC Rheindorf Altach	2	1.916666667	-1	1.7	1.571428571	-1	0	2.208333333	0	25
Europa League  Europa League	2017	11	Do	0.878472222	8773	5	Red Bull Salzburg	Konyaspor	0	1.92	-2	1.727272727	1.571428571	-2	0	2.24	0	26
Bundesliga  Bundesliga	2017	11	So	0.6875	2760	3	SKN St. Pölten	Red Bull Salzburg	-2	1	1.576923077	0	-4	1.583333333	1.571428571	0	2.192307692	27
Bundesliga  Bundesliga	2017	11	So	0.6875	10241	14	Red Bull Salzburg	SK Sturm Graz	5	1.888888889	1	1.583333333	1.6	1	0	2.222222222	3	28
Europa League  Europa League	2017	11	Do	0.791666667	6474	4	Red Bull Salzburg	Vitória Guimarães SC	3	2	0	1.846153846	1.6	0	0	2.25	1	29
Bundesliga  Bundesliga	2017	11	So	0.6875	24375	3	SK Rapid Wien	Red Bull Salzburg	-1	2	1.75862069	0	0	1.928571429	1.6	1	2.275862069	30
Bundesliga  Bundesliga	2017	11	Mi	0.770833333	3922	3	Red Bull Salzburg	SV Mattersburg	2	2.066666667	-1	1.928571429	1.5625	-1	0	2.3	0	31
