contest	year	month	day	time	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Di	20:30	45	Hibernians FC	Red Bull Salzburg	-3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	17:00	4	Deutschlandsberger SC	Red Bull Salzburg	-7.000000	0.000000	0.000000	0.000000	3.000000	0.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.000000	3.000000	0.000000	3.000000	2
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Mi	20:30	4	Red Bull Salzburg	Hibernians FC	3.000000	5.000000	0.000000	5.000000	0.000000	3.000000	-3.000000	0.000000	0.000000	0.000000	5.000000	0.000000	5.000000	0.000000	3.000000	-3.000000	0.000000	0.000000	0.000000	3.000000	0.000000	3
Bundesliga  Bundesliga	2017	07	Sa	18:30	3	Wolfsberger AC	Red Bull Salzburg	-2.000000	0.000000	0.000000	0.000000	4.333333	0.000000	4.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.000000	3.000000	5.000000	0.000000	5.000000	0.000000	3.000000	4
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	07	Mi	18:45	4	Red Bull Salzburg	HNK Rijeka	0.000000	3.750000	0.000000	3.750000	0.000000	0.000000	0.000000	3.000000	0.000000	3.000000	4.000000	0.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.000000	5
Bundesliga  Bundesliga	2017	07	Sa	16:00	3	Red Bull Salzburg	LASK	0.000000	3.200000	0.200000	3.000000	0.000000	0.000000	0.000000	2.000000	0.500000	1.500000	4.000000	0.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	6
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2017	08	Mi	20:45	4	HNK Rijeka	Red Bull Salzburg	0.000000	1.000000	0.000000	1.000000	2.833333	0.333333	2.500000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.666667	0.666667	1.000000	4.000000	0.000000	4.000000	1.000000	2.333333	7
Bundesliga  Bundesliga	2017	08	Sa	18:30	3	Red Bull Salzburg	FC Admira Wacker Mödling	4.000000	2.428571	0.285714	2.142857	0.000000	0.000000	0.000000	1.666667	0.666667	1.000000	3.000000	0.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.142857	0.000000	8
Bundesliga  Bundesliga	2017	08	Sa	16:00	7	SC Rheindorf Altach	Red Bull Salzburg	-1.000000	0.000000	0.000000	0.000000	2.750000	0.375000	2.375000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.500000	0.750000	1.750000	3.000000	0.000000	3.000000	0.000000	2.250000	9
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	20:45	5	FC Viitorul	Red Bull Salzburg	-2.000000	0.000000	0.000000	0.000000	2.555556	0.333333	2.222222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.500000	0.750000	1.750000	2.600000	0.000000	2.600000	0.000000	2.333333	10
Bundesliga  Bundesliga	2017	08	So	16:30	3	Red Bull Salzburg	SKN St. Pölten	4.000000	2.600000	0.300000	2.300000	0.000000	0.000000	0.000000	2.500000	0.750000	1.750000	2.666667	0.166667	2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.400000	0.000000	11
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	19:00	4	Red Bull Salzburg	FC Viitorul	4.000000	2.818182	0.363636	2.454545	1.000000	3.000000	-2.000000	3.000000	0.800000	2.200000	2.666667	0.166667	2.500000	1.000000	3.000000	-2.000000	0.000000	0.000000	0.000000	2.454545	0.000000	12
Bundesliga  Bundesliga	2017	08	So	16:30	3	SK Sturm Graz	Red Bull Salzburg	1.000000	0.000000	0.000000	0.000000	2.916667	0.416667	2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.166667	0.666667	2.500000	2.666667	0.166667	2.500000	0.000000	2.500000	13
Bundesliga  Bundesliga	2017	09	So	16:30	14	Red Bull Salzburg	SK Rapid Wien	0.000000	2.692308	0.307692	2.384615	0.000000	0.000000	0.000000	3.166667	0.666667	2.500000	2.285714	0.285714	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.307692	0.000000	14
Europa League  Europa League	2017	09	Do	21:05	4	Vitória Guimarães SC	Red Bull Salzburg	0.000000	0.000000	0.000000	0.000000	2.642857	0.571429	2.071429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.857143	2.142857	2.285714	0.285714	2.000000	0.000000	2.214286	15
