gameday;hoamTeam;guestTeam;hoamResultFactor;resultNumeric;homeTotalGoalsShoot;homeTotalGoalsReceived;homeTotalGoalDiff;guestTotalGoalsShoot;guestTotalGoalsReceived;guestTotalGoalDiff;homeTeamGoalsShootAtHome;homeTeamGoalsReceivedAtHome;homeTeamGoalsDiffAtHome;homeTeamGoalsShootAway;homeTeamGoalsReceivedAway;homeTeamGoalsDiffAway;guestTeamGoalsShootAtHome;guestTeamGoalsReceivedAtHome;guestTeamGoalsDiffAtHome;guestTeamGoalsShootAway;guestTeamGoalsReceivedAway;guestTeamGoalsDiffAway;homeTeamPointsTotal;guestTeamPointsTotal
1;Rapid;Mattersburg;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;WAC;Salzburg;N;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;LASK;Admira;S;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Altach;Austria;S;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Graz;SKN;S;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Salzburg;LASK;U;0;2;0;2;3;0;3;0;0;0;2;0;2;3;0;3;0;0;0;3;3
2;Mattersburg;WAC;S;1;2;0;2;0;2;-2;0;0;0;2;2;0;0;2;-2;0;0;0;1;0
2;SKN;Rapid;N;-3;2;0;2;2;2;0;0;0;0;2;3;-1;2;2;0;0;0;0;0;1
2;Austria;Graz;N;-1;0;0;0;3;2;1;0;0;0;0;3;-3;3;2;1;0;0;0;0;3
2;Admira;Altach;S;3;0;0;0;3;0;3;0;0;0;0;3;-3;3;0;3;0;0;0;0;3
3;LASK;SKN;S;2;4;0;4;3;7;-4;3;0;3;1;1;0;1;4;-3;2;3;-1;4;0
3;Salzburg;Admira;S;4;3;1;2;4;4;0;1;1;0;2;0;2;4;1;3;0;3;-3;4;3
3;WAC;Altach;S;1;0;2;-2;4;4;0;0;2;-2;0;1;-1;3;0;3;1;4;-3;0;3
3;Rapid;Austria;U;0;6;2;4;2;6;-4;2;2;0;4;1;3;2;3;-1;0;3;-3;4;0
3;Mattersburg;Graz;N;-1;3;0;3;6;4;2;1;0;1;2;2;0;3;2;1;3;2;1;4;6
4;Altach;Salzburg;N;-1;4;0;4;8;2;6;3;0;3;1;5;-4;6;2;4;2;0;2;3;7
4;SKN;Mattersburg;U;0;3;4;-1;5;5;0;1;4;-3;2;5;-3;3;3;0;2;2;0;0;4
4;Austria;LASK;S;2;4;3;1;6;1;5;2;3;-1;2;5;-3;5;0;5;1;1;0;1;7
4;Graz;WAC;S;1;9;2;7;1;3;-2;3;2;1;6;4;2;1;2;-1;0;1;-1;9;3
4;Admira;Rapid;S;2;5;1;4;8;5;3;4;1;3;1;8;-7;4;4;0;4;1;3;3;5
5;Rapid;Graz;N;-1;9;4;5;11;7;4;4;4;0;5;4;1;5;3;2;6;4;2;5;12
5;WAC;Admira;S;2;2;2;0;8;10;-2;1;2;-1;1;3;-2;7;2;5;1;8;-7;3;6
5;Salzburg;SKN;S;4;9;2;7;3;9;-6;6;2;4;3;0;3;1;4;-3;2;5;-3;10;1
5;LASK;Altach;U;0;6;0;6;4;6;-2;5;0;5;1;3;-2;3;1;2;1;5;-4;7;3
5;Mattersburg;Austria;N;-2;5;3;2;6;8;-2;3;3;0;2;2;0;4;3;1;2;5;-3;5;4
6;WAC;SKN;S;1;4;2;2;4;14;-10;3;2;1;1;3;-2;1;4;-3;3;10;-7;6;1
6;Rapid;LASK;S;1;10;6;4;6;3;3;5;6;-1;5;4;1;5;0;5;1;3;-2;5;8
6;Graz;Salzburg;S;1;13;3;10;14;3;11;5;3;2;8;5;3;11;3;8;3;0;3;15;13
6;Altach;Mattersburg;S;1;4;1;3;6;8;-2;3;1;2;1;5;-4;4;6;-2;2;2;0;4;5
6;Admira;Austria;N;-2;8;2;6;9;9;0;7;2;5;1;10;-9;4;3;1;5;6;-1;6;7
7;LASK;Graz;S;1;6;0;6;14;8;6;5;0;5;1;4;-3;6;3;3;8;5;3;8;18
7;SKN;Altach;N;-1;5;4;1;5;6;-1;1;4;-3;4;12;-8;4;1;3;1;5;-4;1;7
7;Austria;WAC;U;0;12;3;9;6;6;0;4;3;1;8;7;1;5;3;2;1;3;-2;10;9
7;Mattersburg;Admira;N;-5;6;6;0;9;15;-6;4;6;-2;2;3;-1;8;5;3;1;10;-9;5;6
7;Salzburg;Rapid;U;0;14;3;11;11;10;1;11;3;8;3;1;2;6;6;0;5;4;1;13;8
8;Altach;Rapid;U;0;7;1;6;13;12;1;4;1;3;3;6;-3;6;6;0;7;6;1;10;9
8;Admira;Graz;S;1;14;5;9;15;10;5;8;5;3;6;10;-4;6;3;3;9;7;2;9;18
8;WAC;LASK;U;0;8;3;5;8;5;3;5;3;2;3;5;-2;7;1;6;1;4;-3;10;11
8;Mattersburg;Salzburg;N;-1;6;11;-5;16;6;10;4;11;-7;2;3;-1;13;5;8;3;1;2;5;14
8;Austria;SKN;S;4;14;5;9;6;18;-12;6;5;1;8;7;1;2;6;-4;4;12;-8;11;1
9;Rapid;WAC;S;2;15;6;9;8;8;0;6;6;0;9;8;1;5;3;2;3;5;-2;10;11
9;SKN;Admira;U;0;7;6;1;16;16;0;2;6;-4;5;17;-12;10;6;4;6;10;-4;1;12
9;Graz;Altach;U;0;16;3;13;9;9;0;6;3;3;10;9;1;6;3;3;3;6;-3;18;11
9;LASK;Mattersburg;U;0;8;1;7;7;16;-9;7;1;6;1;4;-3;5;13;-8;2;3;-1;12;5
9;Salzburg;Austria;U;0;18;5;13;19;13;6;13;5;8;5;2;3;11;6;5;8;7;1;17;14
10;SKN;Graz;N;-3;8;7;1;16;12;4;3;7;-4;5;17;-12;6;3;3;10;9;1;2;19
10;Admira;LASK;S;2;17;6;11;10;7;3;10;6;4;7;11;-4;9;3;6;1;4;-3;13;13
10;Mattersburg;Rapid;N;-1;9;13;-4;19;16;3;5;13;-8;4;5;-1;10;8;2;9;8;1;6;13
10;Austria;Altach;S;2;19;6;13;9;9;0;11;6;5;8;7;1;6;3;3;3;6;-3;15;12
10;Salzburg;WAC;S;1;18;5;13;10;12;-2;13;5;8;5;2;3;5;3;2;5;9;-4;18;11
11;LASK;Salzburg;N;-2;12;3;9;20;8;12;9;3;6;3;8;-5;15;6;9;5;2;3;13;21
11;WAC;Mattersburg;U;0;11;3;8;9;19;-10;5;3;2;6;11;-5;5;14;-9;4;5;-1;11;6
11;Altach;Admira;U;0;9;3;6;21;19;2;6;3;3;3;8;-5;14;8;6;7;11;-4;12;16
11;Rapid;SKN;S;1;20;8;12;8;27;-19;10;8;2;10;8;2;3;10;-7;5;17;-12;16;2
11;Graz;Austria;S;3;19;3;16;21;13;8;6;3;3;13;9;4;13;6;7;8;7;1;22;18
12;Graz;Mattersburg;S;1;22;3;19;11;21;-10;9;3;6;13;9;4;5;14;-9;6;7;-1;25;7
12;SKN;LASK;N;-1;8;10;-2;13;14;-1;3;10;-7;5;18;-13;10;6;4;3;8;-5;2;13
12;Altach;WAC;S;1;11;5;6;13;16;-3;8;5;3;3;8;-5;7;5;2;6;11;-5;13;12
12;Admira;Salzburg;U;0;23;8;15;23;9;14;14;8;6;9;13;-4;15;6;9;8;3;5;17;24
12;Austria;Rapid;N;-1;21;6;15;21;16;5;13;6;7;8;10;-2;11;8;3;10;8;2;18;19
13;Rapid;Admira;S;1;22;8;14;24;22;2;11;8;3;11;8;3;15;9;6;9;13;-4;22;18
13;Mattersburg;SKN;U;0;13;14;-1;8;29;-21;5;14;-9;8;10;-2;3;11;-8;5;18;-13;7;2
13;Salzburg;Altach;S;2;24;6;18;14;15;-1;15;6;9;9;4;5;11;7;4;3;8;-5;25;16
13;LASK;Austria;U;0;14;6;8;21;17;4;10;6;4;4;8;-4;13;7;6;8;10;-2;16;18
13;WAC;Graz;N;-2;15;5;10;25;14;11;7;5;2;8;14;-6;12;5;7;13;9;4;12;28
14;Graz;Rapid;U;0;27;5;22;23;16;7;12;5;7;15;9;6;12;8;4;11;8;3;31;25
14;Altach;LASK;N;-2;14;7;7;16;16;0;11;7;4;3;10;-7;12;8;4;4;8;-4;16;17
14;Admira;WAC;U;0;24;9;15;15;21;-6;15;9;6;9;14;-5;7;7;0;8;14;-6;18;12
14;Austria;Mattersburg;N;-2;23;7;16;14;25;-11;13;7;6;10;12;-2;6;15;-9;8;10;-2;19;8
14;SKN;Salzburg;N;-2;9;11;-2;26;10;16;3;11;-8;6;19;-13;17;6;11;9;4;5;3;28
15;LASK;Rapid;N;-1;20;8;12;23;16;7;12;8;4;8;10;-2;12;8;4;11;8;3;20;26
15;Mattersburg;Altach;S;1;17;15;2;16;21;-5;6;15;-9;11;11;0;13;11;2;3;10;-7;11;16
15;SKN;WAC;U;0;10;14;-4;15;21;-6;4;14;-10;6;19;-13;7;7;0;8;14;-6;3;13
15;Austria;Admira;N;-1;24;10;14;24;23;1;14;10;4;10;12;-2;15;9;6;9;14;-5;19;19
15;Salzburg;Graz;S;5;29;6;23;27;14;13;17;6;11;12;5;7;12;5;7;15;9;6;31;32
16;Graz;LASK;S;1;27;5;22;21;20;1;12;5;7;15;14;1;13;10;3;8;10;-2;32;20
16;Altach;SKN;S;3;16;11;5;10;33;-23;13;11;2;3;11;-8;4;14;-10;6;19;-13;16;4
16;Admira;Mattersburg;S;2;27;9;18;18;26;-8;15;9;6;12;16;-4;7;15;-8;11;11;0;22;14
16;WAC;Austria;N;-1;15;7;8;26;25;1;7;7;0;8;14;-6;16;13;3;10;12;-2;14;19
