,Feature,Pearson,Chi-2,RFE,Logistics,Random Forest,LightGBM,Total
1,gameday_1.Runde,True,True,True,True,False,False,4
2,competition_ÖFB-Cup,True,True,True,True,False,False,4
3,home_team_name_Red Bull Salzburg,False,True,True,True,False,False,3
4,home_team_name_FC Kufstein,False,True,True,True,False,False,3
5,home_coach_Peter Zeidler,False,True,True,True,False,False,3
6,hoamAvgPoints,True,False,True,True,False,False,3
7,guestTeamGoalsReceivedAtHome,False,False,True,False,True,True,3
8,guestTeamGoalsDiffAway_90,False,False,True,False,True,True,3
9,time_15:30,False,False,True,True,False,False,2
10,htb_>15,True,True,False,False,False,False,2
11,home_team_break_higher15,True,True,False,False,False,False,2
12,home_coach_?,True,True,False,False,False,False,2
13,homeTeamGoalsDiffAway_70,False,False,True,True,False,False,2
14,guest_team_name_Red Bull Salzburg,False,False,True,True,False,False,2
15,guest_team_name_FK Austria Wien,False,False,True,True,False,False,2
16,guest_coach_Óscar García,False,False,True,True,False,False,2
17,guest_coach_Adi Hütter,False,False,True,True,False,False,2
18,guestTotalGoalsShoot_10,False,False,False,False,True,True,2
19,guestTotalGoalDiff_70,False,False,False,False,True,True,2
20,guestTeamGoalsShootAway_50,False,False,False,False,True,True,2
21,guestTeamGoalsShootAway_30,False,False,False,False,True,True,2
22,guestTeamGoalsShootAway_10,False,False,False,False,True,True,2
23,guestTeamGoalsShootAtHome_50,False,False,False,False,True,True,2
24,guestTeamGoalsShootAtHome,False,False,False,False,True,True,2
25,guestTeamGoalsReceivedAway_70,False,False,False,False,True,True,2
26,guestTeamGoalsReceivedAway_50,False,False,False,False,True,True,2
27,guestTeamGoalsReceivedAway_30,False,False,False,False,True,True,2
28,guestTeamGoalsReceivedAway_10,False,False,False,False,True,True,2
29,guestTeamGoalsReceivedAway,False,False,False,False,True,True,2
30,guestTeamGoalsReceivedAtHome_70,False,False,False,False,True,True,2
31,guestTeamGoalsReceivedAtHome_50,False,False,False,False,True,True,2
32,guestTeamGoalsReceivedAtHome_10,False,False,False,False,True,True,2
33,guestTeamGoalsDiffAway,False,False,True,False,True,False,2
34,guestTeamGoalsDiffAtHome_10,False,False,True,False,True,False,2
35,guestTeamGoalsDiffAtHome,False,False,True,False,True,False,2
36,gameday_10,False,False,True,True,False,False,2
37,competition_Regionalliga Mitte,False,False,True,True,False,False,2
38,time_17:15,False,True,False,False,False,False,1
39,time_12:00,False,True,False,False,False,False,1
40,month_10,False,False,False,True,False,False,1
41,home_team_name_USV Rudersdorf,False,True,False,False,False,False,1
42,home_team_name_SVG Reichenau,False,True,False,False,False,False,1
43,home_team_name_SV Ried,False,False,False,True,False,False,1
44,home_team_name_SV Grödig,False,False,False,True,False,False,1
45,home_team_name_SV Feldkirchen,False,True,False,False,False,False,1
46,home_team_name_SC Retz,False,True,False,False,False,False,1
47,home_team_name_LASK Linz II,False,True,False,False,False,False,1
48,home_team_name_LASK,False,False,False,True,False,False,1
49,home_team_name_ISS Admira Technopool,False,True,False,False,False,False,1
50,home_team_name_Floridsdorfer AC,False,False,False,True,False,False,1
51,home_team_name_FC Valencia,False,True,False,False,False,False,1
52,home_team_name_Deutschlandsberger SC,False,True,False,False,False,False,1
53,home_team_name_ATSV Stadl-Paura,False,True,False,False,False,False,1
54,home_team_name_ASKÖ Köttmannsdorf,False,True,False,False,False,False,1
55,home_team_name_ASK Kottingbrunn,False,True,False,False,False,False,1
56,home_team_name_ASK Baumgarten,False,True,False,False,False,False,1
57,home_coach_Roland Kirchler,False,False,False,True,False,False,1
58,home_coach_Günther Kerber,False,True,False,False,False,False,1
59,home_coach_Christian Ilzer,False,False,False,True,False,False,1
60,homeTotalGoalsShoot_50,True,False,False,False,False,False,1
61,homeTotalGoalsShoot_30,True,False,False,False,False,False,1
62,homeTotalGoalsShoot_10,True,False,False,False,False,False,1
63,homeTotalGoalsShoot,True,False,False,False,False,False,1
64,homeTotalGoalsReceived,False,False,False,False,False,True,1
65,homeTotalGoalDiff_70,True,False,False,False,False,False,1
66,homeTotalGoalDiff_50,True,False,False,False,False,False,1
67,homeTotalGoalDiff_30,True,False,False,False,False,False,1
68,homeTotalGoalDiff_10,True,False,False,False,False,False,1
69,homeTotalGoalDiff,True,False,False,False,False,False,1
70,homeTeamGoalsShootAway_30,True,False,False,False,False,False,1
71,homeTeamGoalsShootAway_10,True,False,False,False,False,False,1
72,homeTeamGoalsShootAway,True,False,False,False,False,False,1
73,homeTeamGoalsShootAtHome_30,True,False,False,False,False,False,1
74,homeTeamGoalsShootAtHome_10,True,False,False,False,False,False,1
75,homeTeamGoalsShootAtHome,True,False,False,False,False,False,1
76,homeTeamGoalsReceivedAway_90,False,False,False,False,False,True,1
77,homeTeamGoalsReceivedAway_10,False,False,False,False,False,True,1
78,homeTeamGoalsReceivedAway,False,False,False,False,False,True,1
79,homeTeamGoalsReceivedAtHome,False,False,True,False,False,False,1
80,homeTeamGoalsDiffAway_90,False,False,True,False,False,False,1
81,homeTeamGoalsDiffAtHome_90,False,False,True,False,False,False,1
82,homeTeamGoalsDiffAtHome_70,True,False,False,False,False,False,1
83,homeTeamGoalsDiffAtHome_50,True,False,False,False,False,False,1
84,homeTeamGoalsDiffAtHome_30,True,False,False,False,False,False,1
85,homeTeamGoalsDiffAtHome_10,True,False,False,False,False,False,1
86,homeTeamGoalsDiffAtHome,True,False,False,False,False,False,1
87,hoamAvgPoints_70,True,False,False,False,False,False,1
88,hoamAvgPoints_50,True,False,False,False,False,False,1
89,hoamAvgPoints_30,True,False,False,False,False,False,1
90,hoamAvgPoints_10,True,False,False,False,False,False,1
91,guest_team_name_WSG Wattens,False,False,False,True,False,False,1
92,guest_team_name_Schwarz-Weiß Bregenz,False,True,False,False,False,False,1
93,guest_team_name_SK Sturm Graz,False,False,True,False,False,False,1
94,guest_team_name_SC Ostbahn XI,False,True,False,False,False,False,1
95,guest_team_name_SC Columbia Floridsdorf,False,True,False,False,False,False,1
96,guest_team_name_SC Austria Lustenau,False,False,False,True,False,False,1
97,guest_team_name_FC Pinzgau Saalfelden,False,True,False,False,False,False,1
98,guest_team_name_FC Pasching,False,False,True,False,False,False,1
99,guest_team_name_FC Andelsbuch,False,True,False,False,False,False,1
100,guest_coach_Thomas Sageder,False,False,True,False,False,False,1
101,guest_coach_Manfred Unger,False,True,False,False,False,False,1
102,guest_coach_Kurt Russ,False,False,False,True,False,False,1
103,guest_coach_Karl-Heinz Kubesch,False,True,False,False,False,False,1
104,guest_coach_Helgi Kolvidsson,False,False,True,False,False,False,1
105,guestTotalGoalsShoot_50,False,False,False,False,False,True,1
106,guestTotalGoalsShoot_30,False,False,False,False,True,False,1
107,guestTotalGoalsShoot,False,False,False,False,False,True,1
108,guestTotalGoalsReceived_90,False,False,False,False,False,True,1
109,guestTotalGoalsReceived_10,False,False,False,False,True,False,1
110,guestTotalGoalsReceived,False,False,False,True,False,False,1
111,guestTotalGoalDiff_90,False,False,False,False,True,False,1
112,guestTeamGoalsShootAway_70,False,False,False,False,True,False,1
113,guestTeamGoalsShootAway,False,False,False,False,False,True,1
114,guestTeamGoalsShootAtHome_90,False,False,False,False,False,True,1
115,guestTeamGoalsShootAtHome_30,False,False,False,False,False,True,1
116,guestTeamGoalsShootAtHome_10,False,False,False,False,False,True,1
117,guestTeamGoalsReceivedAway_90,False,False,False,False,False,True,1
