,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,result,saison,time,viewers
0,Bundesliga,Sa. 18.07.2009,1,Paul Gludovatz,5-4-1,266,SV Ried,,,2394,SV Kapfenberg,0:1,2009/10,19:30,3450
1,Bundesliga,Sa. 25.07.2009,2,,,409,Red Bull Salzburg,Paul Gludovatz,5-4-1,266,SV Ried,1:0,2009/10,19:30,7600
2,Bundesliga,Fr. 31.07.2009,3,Paul Gludovatz,5-4-1,266,SV Ried,,,17444,SC Wiener Neustadt,2:1,2009/10,20:30,2700
3,Bundesliga,So. 09.08.2009,4,,,170,SK Rapid Wien,Paul Gludovatz,5-4-1,266,SV Ried,1:1,2009/10,19:30,7600
4,Bundesliga,Fr. 21.08.2009,5,Paul Gludovatz,3-4-2-1,266,SV Ried,,,11609,SK Austria Kärnten,0:0,2009/10,20:30,5079
5,Bundesliga,So. 30.08.2009,6,,,122,SK Sturm Graz,Paul Gludovatz,5-4-1,266,SV Ried,1:2,2009/10,19:30,7000
6,Bundesliga,Sa. 12.09.2009,7,Paul Gludovatz,5-4-1,266,SV Ried,,,856,SV Mattersburg,3:0,2009/10,18:00,6400
7,Bundesliga,Mi. 23.09.2009,8,Paul Gludovatz,5-4-1,266,SV Ried,,,14,FK Austria Wien,1:1,2009/10,19:30,7600
8,Bundesliga,So. 27.09.2009,9,,,413,LASK,Paul Gludovatz,5-4-1,266,SV Ried,5:2,2009/10,16:00,7600
9,Bundesliga,Sa. 03.10.2009,10,Paul Gludovatz,5-4-1,266,SV Ried,,,413,LASK,2:2,2009/10,18:00,12000
10,Bundesliga,Sa. 17.10.2009,11,,,2394,SV Kapfenberg,Paul Gludovatz,5-4-1,266,SV Ried,3:0,2009/10,18:00,5000
11,Bundesliga,So. 25.10.2009,12,Paul Gludovatz,5-4-1,266,SV Ried,,,409,Red Bull Salzburg,1:1,2009/10,18:00,13947
12,Bundesliga,Mi. 28.10.2009,13,,,17444,SC Wiener Neustadt,Paul Gludovatz,5-4-1,266,SV Ried,3:0,2009/10,18:30,4500
13,Bundesliga,Sa. 31.10.2009,14,Paul Gludovatz,5-4-1,266,SV Ried,,,170,SK Rapid Wien,1:0,2009/10,18:00,16000
14,Bundesliga,So. 08.11.2009,15,,,11609,SK Austria Kärnten,Paul Gludovatz,5-4-1,266,SV Ried,1:0,2009/10,18:00,5900
15,Bundesliga,Sa. 21.11.2009,16,Paul Gludovatz,5-3-2,266,SV Ried,,,122,SK Sturm Graz,0:2,2009/10,18:00,9800
16,Bundesliga,Fr. 27.11.2009,17,,,856,SV Mattersburg,Paul Gludovatz,5-4-1,266,SV Ried,0:0,2009/10,20:30,5000
17,Bundesliga,So. 06.12.2009,18,,,14,FK Austria Wien,Paul Gludovatz,5-4-1,266,SV Ried,0:2,2009/10,18:00,5800
18,Bundesliga,Sa. 12.12.2009,19,Paul Gludovatz,5-4-1,266,SV Ried,,,170,SK Rapid Wien,2:1,2009/10,18:00,15300
19,Bundesliga,Sa. 13.02.2010,20,,,409,Red Bull Salzburg,Paul Gludovatz,5-4-1,266,SV Ried,1:2,2009/10,18:00,4200
20,Bundesliga,Sa. 20.02.2010,21,Paul Gludovatz,3-4-2-1,266,SV Ried,,,2394,SV Kapfenberg,1:1,2009/10,18:00,2500
21,Bundesliga,Sa. 27.02.2010,22,,,17444,SC Wiener Neustadt,Paul Gludovatz,5-4-1,266,SV Ried,0:1,2009/10,18:00,3200
22,Bundesliga,Sa. 06.03.2010,23,Paul Gludovatz,4-5-1,266,SV Ried,,,122,SK Sturm Graz,1:0,2009/10,18:00,8900
23,Bundesliga,Sa. 13.03.2010,24,,,856,SV Mattersburg,Paul Gludovatz,5-4-1,266,SV Ried,3:0,2009/10,18:00,4200
24,Bundesliga,Sa. 20.03.2010,25,Paul Gludovatz,5-4-1,266,SV Ried,,,11609,SK Austria Kärnten,1:0,2009/10,18:00,2535
25,Bundesliga,Mi. 24.03.2010,26,,,14,FK Austria Wien,Paul Gludovatz,5-4-1,266,SV Ried,0:1,2009/10,19:30,4800
26,Bundesliga,So. 28.03.2010,27,Paul Gludovatz,5-4-1,266,SV Ried,,,413,LASK,3:0,2009/10,15:30,7900
27,Bundesliga,Sa. 03.04.2010,28,,,413,LASK,Paul Gludovatz,5-4-1,266,SV Ried,2:2,2009/10,18:00,7000
28,Bundesliga,Fr. 09.04.2010,29,,,170,SK Rapid Wien,Paul Gludovatz,5-4-1,266,SV Ried,1:3,2009/10,20:30,7200
29,Bundesliga,Mi. 14.04.2010,30,Paul Gludovatz,5-4-1,266,SV Ried,,,409,Red Bull Salzburg,2:0,2009/10,20:30,9800
30,Bundesliga,Sa. 17.04.2010,31,,,2394,SV Kapfenberg,Paul Gludovatz,5-4-1,266,SV Ried,2:1,2009/10,18:00,4200
31,Bundesliga,Sa. 24.04.2010,32,Paul Gludovatz,5-4-1,266,SV Ried,,,17444,SC Wiener Neustadt,2:0,2009/10,18:00,2900
32,Bundesliga,Sa. 01.05.2010,33,,,122,SK Sturm Graz,Paul Gludovatz,4-4-2,266,SV Ried,1:2,2009/10,18:00,6500
