,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
0,Bundesliga,2009-07-18 19:30:00,1,Paul Gludovatz,5-4-1,266,SV Ried,Werner Gregoritsch,4-5-1,2394,SV Kapfenberg,0d35ff9a835d4ed24af193dbcaa0a5b7a48210bfe36dbaec9cb7895d341a824c,0:1,2009/10,19:30,3450,5,18,7,2009
1,Bundesliga,2009-07-25 19:30:00,2,Huub Stevens,4-4-2 Raute,409,Red Bull Salzburg,Paul Gludovatz,5-4-1,266,SV Ried,81225b68d59aa35cdc85291ea79a6b93d179a441e752e33caed03051f72a0b08,1:0,2009/10,19:30,7600,5,25,7,2009
2,Bundesliga,2009-07-31 20:30:00,3,Paul Gludovatz,5-4-1,266,SV Ried,Helmut Kraft,4-4-2,17444,SC Wiener Neustadt,d8198d9be005849cc4cc3ec5f1c0cd99ebe0b84c26fc3828cf4d79fa7dea8c1e,2:1,2009/10,20:30,2700,4,31,7,2009
3,Bundesliga,2009-09-08 19:30:00,4,Peter Pacult,4-4-2 doppel 6,170,SK Rapid Wien,Paul Gludovatz,5-4-1,266,SV Ried,164564f0839d4a5d277ba006596369919e4717e5950fd1a5b435bd547361a81d,1:1,2009/10,19:30,7600,1,8,9,2009
4,Bundesliga,2009-08-21 20:30:00,5,Paul Gludovatz,3-4-2-1,266,SV Ried,Frenkie Schinkels,4-5-1,11609,SK Austria Kärnten,26596f43388b43546a5014d869f60e0165adb51df66464ff5a117be61fb64274,0:0,2009/10,20:30,5079,4,21,8,2009
5,Bundesliga,2009-08-30 19:30:00,6,Franco Foda,4-4-2,122,SK Sturm Graz,Paul Gludovatz,5-4-1,266,SV Ried,f1b8ab9711da2c18d2265138e656c089858ef77260a71a82c3b37d37ecb57727,1:2,2009/10,19:30,7000,6,30,8,2009
6,Bundesliga,2009-12-09 18:00:00,7,Paul Gludovatz,5-4-1,266,SV Ried,Franz Lederer,4-4-2,856,SV Mattersburg,ee2541d6cb36757dcba5e268db3265b1ef3848812559f94a1e7eefa5160de78c,3:0,2009/10,18:00,6400,2,9,12,2009
7,Bundesliga,2009-09-23 19:30:00,8,Paul Gludovatz,5-4-1,266,SV Ried,Karl Daxbacher,4-4-2,14,FK Austria Wien,5b7ba00272270707865cad319da76704a09cfca0f733044a0b16df6eea44ae7c,1:1,2009/10,19:30,7600,2,23,9,2009
8,Bundesliga,2009-09-27 16:00:00,9,Matthias Hamann,4-4-2,413,LASK,Paul Gludovatz,5-4-1,266,SV Ried,8a5ccf07858223c06fe22533da898cb738513f2cb953abec867f7103105c533b,5:2,2009/10,16:00,7600,6,27,9,2009
9,Bundesliga,2009-03-10 18:00:00,10,Paul Gludovatz,5-4-1,266,SV Ried,Matthias Hamann,4-4-2 Raute,413,LASK,d7ea40c68e8cf3f4ecaa182745129b78be6c440dc22918473e972df9876676cc,2:2,2009/10,18:00,12000,1,10,3,2009
