,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
0,UEFA Champions League-Qualifikation,Mi. 07.08.2019,3.Runde Hinspiele,Valérien Ismaël,3-4-3 flach,413,LASK,,,26,FC Basel 1893,090fd19b5b696a68fc0a37294f0eb6be442a189c4ea3b22f14bb02542245b13a,1:2,2019/20,20:00,20470
1,UEFA Champions League-Qualifikation,Di. 13.08.2019,3.Runde Rückspiele,,,26,FC Basel 1893,Valérien Ismaël,3-4-3 flach,413,LASK,61a29314c1f03bbc31f67e84ff679cf4dd5d6d72ae14d9b49283a9a80623de0c,3:1,2019/20,20:30,14000
2,UEFA Champions League-Qualifikation,Di. 20.08.2019,Qualifikationsrunde - Hinspiele,,,2282,FC Brügge,,,413,LASK,fa118ca2c8e433414495b7514b87c7d671dca40feb47444ba9242e90286e61bc,-:-,2019/20,21:00,0
3,UEFA Champions League-Qualifikation,Mi. 28.08.2019,Qualifikationsrunde - Rückspiele,,,413,LASK,,,2282,FC Brügge,f266fa0ac1906590f1f659cb521c2130358bb0e184fc32337b8a100d42ce9499,-:-,2019/20,-,0
4,Bundesliga,So. 28.07.2019,1,,,3551,SC Rheindorf Altach,Valérien Ismaël,3-4-3 flach,413,LASK,b6bb3e2fe81cb2a977fbe7669384ce4cd4a0cdd6f2cc75ecdd9635fdbfe7775b,2:0,2019/20,17:00,5333
5,Bundesliga,Sa. 03.08.2019,2,Valérien Ismaël,3-4-3 flach,413,LASK,,,14,FK Austria Wien,7140e0dd9bad11d478831fe7028661c282ecce27d968d9b800aae5f422e38f3f,0:3,2019/20,17:00,9350
6,Bundesliga,Sa. 10.08.2019,3,Valérien Ismaël,3-4-3 flach,413,LASK,,,503,FC Admira Wacker Mödling,f9c39d5186f23fd9faf9f37de392664aec29ca9cc9e943196d8a5d19dd391ff7,0:1,2019/20,17:00,2037
7,Bundesliga,Sa. 17.08.2019,4,,,2446,WSG Tirol,,,413,LASK,498294d9cd2d76d70e80f824df3407b5cf76dfc84535766a5c571e2faaed2ea5,-:-,2019/20,17:00,0
8,Bundesliga,Sa. 24.08.2019,5,,,413,LASK,,,170,SK Rapid Wien,3c9092b7c7594972b7ed20f44007f990577fd78d9610a69491f054a9697bacb2,-:-,2019/20,17:00,0
9,Bundesliga,Sa. 31.08.2019,6,,,4441,Wolfsberger AC,,,413,LASK,8b8335b1f6ea664a6913f6379931daff3fadbe7c8bd6bbe2c85b7bf9857e42ef,-:-,2019/20,17:00,0
10,Bundesliga,Sa. 14.09.2019,7,,,413,LASK,,,122,SK Sturm Graz,cd7632ae29d301848285a8949da7242cbc9fd2b797896484ca624134be0f2815,-:-,2019/20,-,0
11,Bundesliga,Sa. 21.09.2019,8,,,409,Red Bull Salzburg,,,413,LASK,075a3a4d6270ad70ae74ee1d1a628fe43b8625cd495b4bb954faa0bfc88a8d20,-:-,2019/20,-,0
12,Bundesliga,Sa. 28.09.2019,9,,,413,LASK,,,2662,SKN St. Pölten,f5452214eabe7dd37a7c0e7602a554e8d580b2dd80136bf084a6bf55dad5e013,-:-,2019/20,-,0
13,Bundesliga,Sa. 05.10.2019,10,,,413,LASK,,,4467,TSV Hartberg,f25f7422440d28baa6e29f8e2ec6822f9fefd8809a86ebbeda67814258620e96,-:-,2019/20,-,0
14,Bundesliga,Sa. 19.10.2019,11,,,856,SV Mattersburg,,,413,LASK,5019dfb6d13f67f8bdf4a1ea9caa4810fa30e19b77a620accc65c95118bad945,-:-,2019/20,-,0
15,Bundesliga,Sa. 26.10.2019,12,,,413,LASK,,,3551,SC Rheindorf Altach,34736e5e2a2321c7be2c944619f9e7136356f65e04ed7c2eaa20ee1c19587ef3,-:-,2019/20,-,0
16,Bundesliga,Sa. 02.11.2019,13,,,14,FK Austria Wien,,,413,LASK,b3c15d16454b61732707edac39b8487e6b68387761fa766cb69d24533928c837,-:-,2019/20,-,0
17,Bundesliga,Sa. 09.11.2019,14,,,503,FC Admira Wacker Mödling,,,413,LASK,377e5303c4784013084bd5b9cbc6e714a9e1a7191652e25df514729ba91ecf6d,-:-,2019/20,-,0
18,Bundesliga,Sa. 23.11.2019,15,,,413,LASK,,,2446,WSG Tirol,5d918a833756281d5b0c750963d33ae9a218f8d79eb08b36c65a899981a4a08e,-:-,2019/20,-,0
