,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
0,Bundesliga,Fr. 27.07.2018,1,Karl Daxbacher,5-4-1 flach,2444,FC Wacker Innsbruck,,,14,FK Austria Wien,9e2ade517af5d236a8cd40654c0b8f38363e4d7b191c0ad767a547febf627496,2:1,2018/19,20:45,13155
1,Bundesliga,Sa. 04.08.2018,2,,,122,SK Sturm Graz,Karl Daxbacher,4-4-2 doppel 6,2444,FC Wacker Innsbruck,c8db4c597ca5d0abfb449ef80cc75efbffbb9122afbca5ed3c1fe983d4feb952,2:3,2018/19,17:00,7820
2,Bundesliga,Sa. 11.08.2018,3,Karl Daxbacher,4-2-3-1 ,2444,FC Wacker Innsbruck,,,3551,SC Rheindorf Altach,d5ff103daeaae2db7548a6cfe4ab826dca4fab8b9b49427a9e6339ce761b274d,1:2,2018/19,17:00,5845
3,Bundesliga,Sa. 18.08.2018,4,,,2662,SKN St. Pölten,Karl Daxbacher,4-4-2 doppel 6,2444,FC Wacker Innsbruck,7667ba116b5e2e23eafab6f8ec6546d478144f57d9163602f90fa7fc6db3d5a2,0:2,2018/19,17:00,4321
4,Bundesliga,So. 26.08.2018,5,Karl Daxbacher,4-2-3-1 ,2444,FC Wacker Innsbruck,,,170,SK Rapid Wien,0c2b28d8eb7418492d1bbdd7c2ed170d8986db97b42bfa7bf52719a82521f1bc,2:1,2018/19,17:00,17400
5,Bundesliga,Sa. 01.09.2018,6,,,4467,TSV Hartberg,Karl Daxbacher,4-4-2 doppel 6,2444,FC Wacker Innsbruck,c5bb6bafceb34cad4617cc695841a9541a0f3672579e55b9729cd1bd0e48d531,2:1,2018/19,17:00,3115
6,Bundesliga,So. 16.09.2018,7,Karl Daxbacher,4-2-3-1 ,2444,FC Wacker Innsbruck,,,4441,Wolfsberger AC,ccd586e94e776c087c3beca1b0b0772384044a74de07157722c7dd4f64d469cb,3:1,2018/19,14:30,3887
7,Bundesliga,So. 23.09.2018,8,,,503,FC Admira Wacker Mödling,Karl Daxbacher,3-5-2,2444,FC Wacker Innsbruck,58fbdf6ecaafa80fb900e07836279e70287e40da91ff38840cf4f1e6bf26fdc8,1:3,2018/19,14:30,3620
8,Bundesliga,So. 30.09.2018,9,Karl Daxbacher,4-2-3-1 ,2444,FC Wacker Innsbruck,,,856,SV Mattersburg,63ebe4c08f0cddfb33ea7f973517e92ee5d3a75a8275c17c9d0b34d9938dd5b1,2:1,2018/19,14:30,1900
9,Bundesliga,So. 07.10.2018,10,,,413,LASK,Karl Daxbacher,5-3-2,2444,FC Wacker Innsbruck,870a12f009eae1e62ec43615cd538b2b492b968276202e180eb1e9d51eaf7ac9,1:0,2018/19,14:30,3873
10,Bundesliga,Sa. 20.10.2018,11,Karl Daxbacher,5-3-2,2444,FC Wacker Innsbruck,,,409,Red Bull Salzburg,6b4b96c481376cb922b77bc47f891de10617be5157c6fb23d0cb153435a6328e,1:1,2018/19,17:00,11033
11,Bundesliga,Sa. 27.10.2018,12,,,14,FK Austria Wien,Karl Daxbacher,5-3-2,2444,FC Wacker Innsbruck,1cdf1ecf08142163defb9480f827d9013de045a36f13ebac83d492621a8e348e,0:0,2018/19,17:00,5532
12,Bundesliga,Sa. 03.11.2018,13,Karl Daxbacher,5-3-2,2444,FC Wacker Innsbruck,,,122,SK Sturm Graz,98e0ed46a8b4a8bb5d238b3efe4e06b77c0a0094e5662ebd970e85d68d395775,1:1,2018/19,17:00,7867
13,Bundesliga,Sa. 10.11.2018,14,,,3551,SC Rheindorf Altach,Karl Daxbacher,3-4-3 flach,2444,FC Wacker Innsbruck,b3fc83ee9a80a64d85cde069da82237ab2257dd37f658623411dc978ef5a8963,1:0,2018/19,17:00,5343
14,Bundesliga,So. 25.11.2018,15,Karl Daxbacher,3-4-3 flach,2444,FC Wacker Innsbruck,,,2662,SKN St. Pölten,6e548beb1a01eed955a4729ce5a859582f9ef55817fbb72b130908b3cea0c9f0,2:0,2018/19,14:30,2700
15,Bundesliga,So. 02.12.2018,16,,,170,SK Rapid Wien,Karl Daxbacher,5-3-2,2444,FC Wacker Innsbruck,8a1e08f8f5436dcffb4c8d00e6c295a855c9fd1477204ba2dfeb919058498b03,0:1,2018/19,14:30,7665
16,Bundesliga,So. 09.12.2018,17,Karl Daxbacher,3-4-3,2444,FC Wacker Innsbruck,,,4467,TSV Hartberg,a4882d1116c3b64b9189e4e57486a76fb986d7f84caaaf048ea2da9afe944ac8,2:2,2018/19,14:30,2733
