,weekday,day,month,year,home_team_break,guest_team_break,date,time,home_team_name,guest_team_name,competition,saison,gameday,home_coach,guest_coach,resultNumeric,homeTotalGoalsShoot,homeTotalGoalsReceived,homeTotalGoalDiff,guestTotalGoalsShoot,guestTotalGoalsReceived,guestTotalGoalDiff,homeTeamGoalsShootAtHome,homeTeamGoalsReceivedAtHome,homeTeamGoalsDiffAtHome,homeTeamGoalsShootAway,homeTeamGoalsReceivedAway,homeTeamGoalsDiffAway,guestTeamGoalsShootAtHome,guestTeamGoalsReceivedAtHome,guestTeamGoalsDiffAtHome,guestTeamGoalsShootAway,guestTeamGoalsReceivedAway,guestTeamGoalsDiffAway,hoamAvgPoints,guestAvgpoints,htb_0,htb_2,htb_3,htb_4,htb_5,htb_6,htb_7,htb_8,htb_9,htb_10,htb_11,htb_12,htb_13,htb_14,htb_15,htb_>15,gtb_0,gtb_2,gtb_3,gtb_4,gtb_5,gtb_6,gtb_7,gtb_8,gtb_9,gtb_10,gtb_11,gtb_12,gtb_13,gtb_14,gtb_15,gtb_>15
0,1,14,7,2009,0,0,2009-07-14,19:00,FC Gratkorn,First Vienna FC,2. Liga,2009/10,1,Michael Fuchs †,Peter Stöger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,14,7,2009,higher15,higher15,2009-07-14,19:00,FC Wacker Innsbruck,Red Bull Juniors Salzburg,2. Liga,2009/10,1,Walter Kogler,Niko Kovac,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,14,7,2009,higher15,higher15,2009-07-14,19:00,SC Rheindorf Altach,TSV Hartberg,2. Liga,2009/10,1,Adi Hütter,Bruno Friesenbichler,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,14,7,2009,higher15,higher15,2009-07-14,19:00,SKN St. Pölten,FC Dornbirn,2. Liga,2009/10,1,Martin Scherb,Armand Benneker,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,14,7,2009,higher15,higher15,2009-07-14,19:00,SC Austria Lustenau,FK Austria Wien Amateure,2. Liga,2009/10,1,Edmund Stöhr,Johann Dihanich,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,14,7,2009,higher15,higher15,2009-07-14,19:00,FC Admira Wacker Mödling,FC Lustenau,2. Liga,2009/10,1,Walter Schachner,Nenad Bjelica,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,15,7,2009,higher15,higher15,2009-07-15,20:30,Red Bull Salzburg,Bohemian Football Club Dublin,UEFA Champions League-Qualifikation,2009/10,2.Runde Hinspiele,Huub Stevens,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,3,16,7,2009,higher15,higher15,2009-07-16,19:15,SK Rapid Wien,KF Vllaznia,Europa League Qualifikation,2009/10,2.Runde Hinspiele,Peter Pacult,?,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,3,16,7,2009,higher15,higher15,2009-07-16,19:15,SK Sturm Graz,NK Siroki Brijeg,Europa League Qualifikation,2009/10,2.Runde Hinspiele,Franco Foda,?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4,17,7,2009,3,3,2009-07-17,18:00,FC Lustenau,FK Austria Wien Amateure,2. Liga,2009/10,2,Nenad Bjelica,Johann Dihanich,-4.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,17,7,2009,3,3,2009-07-17,18:00,TSV Hartberg,FC Wacker Innsbruck,2. Liga,2009/10,2,Bruno Friesenbichler,Walter Kogler,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,17,7,2009,3,3,2009-07-17,18:00,FC Dornbirn,FC Admira Wacker Mödling,2. Liga,2009/10,2,Armand Benneker,Walter Schachner,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,17,7,2009,3,3,2009-07-17,18:00,SKN St. Pölten,First Vienna FC,2. Liga,2009/10,2,Martin Scherb,Peter Stöger,-2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,-4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,17,7,2009,3,3,2009-07-17,18:00,Red Bull Juniors Salzburg,FC Gratkorn,2. Liga,2009/10,2,Niko Kovac,Michael Fuchs †,3.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,17,7,2009,higher15,higher15,2009-07-17,20:30,SC Wiener Neustadt,SK Austria Kärnten,Bundesliga,2009/10,1,Helmut Kraft,Frenkie Schinkels,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,5,18,7,2009,4,4,2009-07-18,17:00,SC Austria Lustenau,SC Rheindorf Altach,2. Liga,2009/10,2,Edmund Stöhr,Adi Hütter,-2.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,5,18,7,2009,higher15,higher15,2009-07-18,19:30,SV Kapfenberg,SV Ried,Bundesliga,2009/10,1,Werner Gregoritsch,Paul Gludovatz,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,5,18,7,2009,higher15,higher15,2009-07-18,19:30,LASK,SV Mattersburg,Bundesliga,2009/10,1,Matthias Hamann,Franz Lederer,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,6,19,7,2009,4,higher15,2009-07-19,17:00,Red Bull Salzburg,FK Austria Wien,Bundesliga,2009/10,1,Huub Stevens,Karl Daxbacher,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,22,7,2009,7,3,2009-07-22,20:30,Bohemian Football Club Dublin,Red Bull Salzburg,UEFA Champions League-Qualifikation,2009/10,2.Runde Rückspiele,?,Huub Stevens,-1.0,1.0,0.0,1.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,23,7,2009,7,7,2009-07-23,20:00,KF Vllaznia,SK Rapid Wien,Europa League Qualifikation,2009/10,2.Runde Rückspiele,?,Peter Pacult,-3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,-5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,3,23,7,2009,7,7,2009-07-23,20:15,NK Siroki Brijeg,SK Sturm Graz,Europa League Qualifikation,2009/10,2.Runde Rückspiele,?,Franco Foda,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,4,24,7,2009,7,7,2009-07-24,18:00,FC Gratkorn,TSV Hartberg,2. Liga,2009/10,3,Michael Fuchs †,Bruno Friesenbichler,0.0,2.0,0.5,1.5,0.0,3.0,-3.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,-2.0,0.0,4.0,-4.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
