home_team_break	guest_team_break	date	time	home_team_name	guest_team_name	competition	saison	gameday	home_coach	guest_coach	home_goals	guest_goals	homeResultFactor	guestResultFactor	resultNumeric	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints
0	0	14.07.2009	19:00	FC Gratkorn	First Vienna FC	2. Liga	2009/10	1	Michael Fuchs †	Peter Stöger	1	1	U	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40008	40008	14.07.2009	19:00	FC Wacker Innsbruck	Red Bull Juniors Salzburg	2. Liga	2009/10	1	Walter Kogler	Niko Kovac	2	1	S	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40008	40008	14.07.2009	19:00	SC Rheindorf Altach	TSV Hartberg	2. Liga	2009/10	1	Adi Hütter	Bruno Friesenbichler	4	0	S	N	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40008	40008	14.07.2009	19:00	SKN St. Pölten	FC Dornbirn	2. Liga	2009/10	1	Martin Scherb	Armand Benneker	2	0	S	N	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40008	40008	14.07.2009	19:00	SC Austria Lustenau	FK Austria Wien Amateure	2. Liga	2009/10	1	Edmund Stöhr	Johann Dihanich	1	0	S	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40008	40008	14.07.2009	19:00	FC Admira Wacker Mödling	FC Lustenau	2. Liga	2009/10	1	Walter Schachner	Nenad Bjelica	0	1	N	S	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40009	40009	15.07.2009	20:30	Red Bull Salzburg	Bohemian Football Club Dublin	UEFA Champions League-Qualifikation	2009/10	2.Runde Hinspiele	Huub Stevens	?	1	1	U	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40010	40010	16.07.2009	19:15	SK Rapid Wien	KF Vllaznia	Europa League Qualifikation	2009/10	2.Runde Hinspiele	Peter Pacult	?	5	0	S	N	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40010	40010	16.07.2009	19:15	SK Sturm Graz	NK Siroki Brijeg	Europa League Qualifikation	2009/10	2.Runde Hinspiele	Franco Foda	?	2	1	S	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	17.07.2009	18:00	FC Lustenau	FK Austria Wien Amateure	2. Liga	2009/10	2	Nenad Bjelica	Johann Dihanich	3	0	N	S	-4	0	0	0	0	1	-1	0	0	0	0	2	-2	0	1	-1	0	0	0	0	0
3	3	17.07.2009	18:00	TSV Hartberg	FC Wacker Innsbruck	2. Liga	2009/10	2	Bruno Friesenbichler	Walter Kogler	0	2	U	U	0	2	0	2	1	1	0	2	0	2	0	0	0	0	0	0	1	1	0	3	1
3	3	17.07.2009	18:00	FC Dornbirn	FC Admira Wacker Mödling	2. Liga	2009/10	2	Armand Benneker	Walter Schachner	0	4	U	U	0	1	0	1	1	1	0	0	0	0	1	2	-1	1	1	0	0	0	0	0	1
