,date,time,home_team_name,guest_team_name,competition,saison,gameday,home_coach,guest_coach,home_goals,guest_goals
0,2009-07-14,19:00,FC Gratkorn,First Vienna FC,2. Liga,2009/10,1,Michael Fuchs †,Peter Stöger,1,1
1,2009-07-14,19:00,FC Wacker Innsbruck,Red Bull Juniors Salzburg,2. Liga,2009/10,1,Walter Kogler,Niko Kovac,2,1
2,2009-07-14,19:00,SC Rheindorf Altach,TSV Hartberg,2. Liga,2009/10,1,Adi Hütter,Bruno Friesenbichler,4,0
3,2009-07-14,19:00,SKN St. Pölten,FC Dornbirn,2. Liga,2009/10,1,Martin Scherb,Armand Benneker,2,0
4,2009-07-14,19:00,SC Austria Lustenau,FK Austria Wien Amateure,2. Liga,2009/10,1,Edmund Stöhr,Johann Dihanich,1,0
5,2009-07-14,19:00,FC Admira Wacker Mödling,FC Lustenau,2. Liga,2009/10,1,Walter Schachner,Nenad Bjelica,0,1
6,2009-07-15,20:30,Red Bull Salzburg,Bohemian Football Club Dublin,UEFA Champions League-Qualifikation,2009/10,2.Runde Hinspiele,Huub Stevens,?,1,1
7,2009-07-16,19:15,SK Rapid Wien,KF Vllaznia,Europa League Qualifikation,2009/10,2.Runde Hinspiele,Peter Pacult,?,5,0
8,2009-07-16,19:15,SK Sturm Graz,NK Siroki Brijeg,Europa League Qualifikation,2009/10,2.Runde Hinspiele,Franco Foda,?,2,1
9,2009-07-17,18:00,FC Lustenau,FK Austria Wien Amateure,2. Liga,2009/10,2,Nenad Bjelica,Johann Dihanich,3,0
10,2009-07-17,18:00,TSV Hartberg,FC Wacker Innsbruck,2. Liga,2009/10,2,Bruno Friesenbichler,Walter Kogler,0,2
11,2009-07-17,18:00,FC Dornbirn,FC Admira Wacker Mödling,2. Liga,2009/10,2,Armand Benneker,Walter Schachner,0,4
12,2009-07-17,18:00,SKN St. Pölten,First Vienna FC,2. Liga,2009/10,2,Martin Scherb,Peter Stöger,1,1
13,2009-07-17,18:00,Red Bull Juniors Salzburg,FC Gratkorn,2. Liga,2009/10,2,Niko Kovac,Michael Fuchs †,3,3
