,pred,actual
0,-0.255,-1
1,-2.487,-3
2,-1.514,-2
3,2.45,4
4,-0.851,-1
5,0.063,0
6,1.602,2
7,2.511,2
8,0.685,0
9,1.762,2
10,-0.575,0
11,-0.043,-1
12,-0.586,-1
13,-0.45,-1
14,-2.223,-4
15,0.437,0
16,-0.036,0
17,3.124,4
18,0.74,0
19,-0.347,0
20,-1.161,-1
21,-2.251,-4
22,0.849,1
23,-1.595,-2
24,-0.165,0
25,2.036,2
26,-0.233,0
27,-1.544,-2
28,0.787,1
29,0.118,0
30,-0.984,-1
31,-2.415,-3
32,-1.147,-1
33,1.349,2
34,0.439,0
35,1.744,2
36,0.861,1
37,-0.515,-1
38,2.457,4
39,-0.702,-1
40,2.781,4
41,0.09,0
42,0.824,1
43,0.94,1
44,0.016,0
45,1.544,2
46,-0.585,-1
47,-0.172,0
48,-2.041,-3
49,-0.578,-1
50,1.463,2
51,3.212,5
52,0.177,0
53,-0.779,-1
54,1.343,2
55,-0.06,-1
56,-1.498,-2
57,0.75,1
58,-0.455,-1
59,1.356,1
60,-2.009,-3
61,1.643,2
62,1.075,1
63,0.434,1
64,1.832,3
65,-0.827,-1
66,0.232,0
67,1.792,2
68,0.36,0
69,-0.869,-1
70,-0.935,-1
71,1.055,2
72,-1.549,-2
73,0.181,0
74,0.055,0
75,2.551,3
76,0.697,1
77,-3.634,-3
78,1.602,2
79,-1.389,-2
80,-1.732,-3
81,-0.998,-2
82,0.884,1
83,2.247,3
84,-1.277,-1
85,1.252,1
86,-0.631,-1
87,-0.089,0
88,-0.728,-1
89,1.953,3
90,-0.755,-1
91,0.814,1
92,-0.997,-2
93,-0.221,0
94,1.814,3
95,1.245,2
96,-2.99,-4
97,-1.838,-2
98,-0.927,-1
99,0.567,1
100,-0.725,0
101,1.425,1
102,-2.054,-3
103,0.245,0
104,-0.462,1
105,1.326,2
106,-1.865,-2
107,0.291,1
108,-0.2,0
109,-0.211,0
110,-0.744,-2
111,0.63,1
112,1.071,1
113,-0.094,0
114,3.098,4
115,3.894,5
116,1.928,3
117,-1.285,-2
118,-0.04,0
119,0.718,1
120,-1.646,0
121,0.593,1
122,0.28,0
123,-1.072,-2
124,0.817,1
125,0.291,0
126,0.324,0
127,1.015,1
128,3.909,5
129,0.635,1
130,0.451,1
131,0.485,1
132,-3.464,-5
133,-0.991,-1
134,-1.026,-1
135,0.854,1
136,-1.802,-3
137,-0.286,1
138,0.186,0
139,-1.675,-3
140,1.982,2
141,-0.927,-1
142,1.881,3
143,1.737,2
144,0.281,0
145,0.106,0
146,-1.103,-2
147,-0.017,0
148,-1.642,-2
149,0.317,0
150,0.462,1
151,-1.287,-1
152,-0.334,-1
153,0.91,1
154,0.353,0
155,0.801,1
156,-0.779,-1
157,0.668,1
158,-1.325,-2
159,1.567,2
160,1.479,2
161,0.14,1
162,-0.531,-1
163,1.152,1
164,2.048,2
165,1.007,1
166,-0.325,0
167,-0.384,-1
168,0.832,1
169,0.867,1
170,1.912,3
171,0.809,1
172,-1.314,-2
173,-0.685,-1
174,2.075,2
175,-1.007,-1
176,0.735,1
177,1.412,2
178,-0.085,0
179,0.709,1
180,1.465,2
181,0.667,0
182,0.134,0
183,-0.508,-1
184,0.046,-1
185,1.159,2
186,0.043,0
187,-1.54,-2
188,-1.201,-1
189,-0.941,-2
190,-0.11,-1
191,0.795,1
192,0.635,1
193,-2.141,-3
194,0.541,1
195,3.627,4
196,-3.05,-5
197,1.386,2
198,-0.795,-2
199,0.194,0
200,-0.731,-1
201,1.202,1
202,0.689,0
203,1.941,3
204,1.122,1
205,-1.077,-2
206,2.067,3
207,1.597,3
208,-1.448,-1
209,3.031,4
210,5.024,7
211,1.847,3
212,-0.98,-1
213,0.548,0
214,-0.509,0
215,0.753,1
216,1.566,2
217,-0.839,-1
218,0.053,0
219,0.483,1
