,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
0,2. Liga,2009-07-14 19:00:00,1,Peter Stöger,3-4-2-1,2364,First Vienna FC,Michael Fuchs †,4-4-2,5192,FC Gratkorn,4c0f0ae86edebb6bcc1ad9c5d833e0055eea9911b86e5a79ac906ac0f2c878d7,1:1,2009/10,19:00,1000,1,14,7,2009
1,2. Liga,2009-07-17 18:00:00,2,Michael Fuchs †,4-5-1,5192,FC Gratkorn,Niko Kovac,3-5-2,6227,Red Bull Juniors Salzburg,23c2ed48d6acf618f5a985662d4841d3eca5ac6a93327b6441382dcb093202a5,3:3,2009/10,18:00,200,4,17,7,2009
2,2. Liga,2009-07-24 18:00:00,3,Bruno Friesenbichler,4-4-2,4467,TSV Hartberg,Michael Fuchs †,4-4-2 Raute,5192,FC Gratkorn,54806304f66469bdc7b58fe72f800df0eb416eb74249df5308153773dccdc2c5,0:0,2009/10,18:00,1200,4,24,7,2009
3,2. Liga,2009-07-31 18:00:00,4,Michael Fuchs †,4-3-3 defensiv,5192,FC Gratkorn,Edmund Stöhr,4-4-2 doppel 6,541,SC Austria Lustenau,34194b3d3200c826828639f67b15c0bfb85696bb2a9f4a98749a140af31fa45b,2:1,2009/10,18:00,2600,4,31,7,2009
4,2. Liga,2009-08-08 17:00:00,5,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,Michael Fuchs †,4-4-2,5192,FC Gratkorn,63ec3baaf729fdf854bc02ed1c0d83b7c4de76bd5c5af0646dec5f261727fd45,3:1,2009/10,17:00,1100,5,8,8,2009
5,2. Liga,2009-08-21 18:00:00,6,Michael Fuchs †,4-4-2,5192,FC Gratkorn,Walter Kogler,4-4-2,2444,FC Wacker Innsbruck,3ab492d47b605407d29d6e3a4973bef16c434459ecba3ba89c01c423f1fda8d2,0:0,2009/10,18:00,3900,4,21,8,2009
6,2. Liga,2009-08-28 18:00:00,7,Johann Dihanich,4-4-2,4383,FK Austria Wien Amateure,Michael Fuchs †,4-4-2,5192,FC Gratkorn,5fd811e1da2d02777f0cf47851178a98a711a2e15e749ecffb8732f61aa75cc6,4:0,2009/10,18:00,900,4,28,8,2009
7,2. Liga,2009-11-09 19:00:00,8,Martin Scherb,4-5-1,2662,SKN St. Pölten,Michael Fuchs †,4-4-2,5192,FC Gratkorn,eac13ef286dc9b55f4fad9e58dac5a4f379c6a5b0599252c0801f0e4d0348511,4:1,2009/10,19:00,800,0,9,11,2009
8,2. Liga,2009-09-22 19:00:00,9,Michael Fuchs †,4-5-1,5192,FC Gratkorn,Walter Schachner,4-4-2,503,FC Admira Wacker Mödling,c064f6e3ebbfb304927264a0f6ac7ce7c2837e2f56a94e2ef0375e4edacdeadb,3:0,2009/10,19:00,1000,1,22,9,2009
9,2. Liga,2009-09-25 19:00:00,10,Nenad Bjelica,4-4-2,2231,FC Lustenau,Michael Fuchs †,4-4-2,5192,FC Gratkorn,fc61008a760ffd363db647e7183b76615757fdc2c7b86df302e31c2391f1fe48,3:2,2009/10,19:00,850,4,25,9,2009
