,competition,date,game_system,gameday,guest_coach,guest_team_id,guest_team_name,home_coach,home_team_id,home_team_name,result,saison,time,viewers
0,Europa League,Do. 17.09.2009,4-5-1,Gruppe C,,41,Hamburger SV,Peter Pacult,170,SK Rapid Wien,3:0,2009/10,19:00,49850
1,Europa League,Do. 01.10.2009,4-5-1,Gruppe C,Peter Pacult,170,SK Rapid Wien,,371,Celtic Glasgow,1:1,2009/10,21:05,42000
2,Europa League,Do. 22.10.2009,4-5-1,Gruppe C,Peter Pacult,170,SK Rapid Wien,,1017,Hapoel Tel Aviv,5:1,2009/10,21:05,13000
3,Europa League,Do. 05.11.2009,4-2-3-1 ,Gruppe C,,1017,Hapoel Tel Aviv,Peter Pacult,170,SK Rapid Wien,0:3,2009/10,19:00,47000
4,Europa League,Mi. 02.12.2009,4-5-1,Gruppe C,Peter Pacult,170,SK Rapid Wien,,41,Hamburger SV,2:0,2009/10,21:05,46000
5,Europa League,Do. 17.12.2009,4-4-2,Gruppe C,,371,Celtic Glasgow,Peter Pacult,170,SK Rapid Wien,3:3,2009/10,19:00,48000
6,Europa League Qualifikation,Do. 16.07.2009,4-4-2 doppel 6,2.Runde Hinspiele,,8671,KF Vllaznia,Peter Pacult,170,SK Rapid Wien,5:0,2009/10,19:15,13000
7,Europa League Qualifikation,Do. 23.07.2009,4-5-1,2.Runde Rückspiele,Peter Pacult,170,SK Rapid Wien,,8671,KF Vllaznia,0:3,2009/10,20:00,2000
8,Europa League Qualifikation,Do. 30.07.2009,4-4-2 doppel 6,3.Runde Hinspiele,,8554,APOP Kinyras Pegias,Peter Pacult,170,SK Rapid Wien,2:1,2009/10,19:15,12800
9,Europa League Qualifikation,Do. 06.08.2009,4-3-3 defensiv,3.Runde Rückspiele,Peter Pacult,170,SK Rapid Wien,,8554,APOP Kinyras Pegias,2:2  n.V.,2009/10,19:15,2500
10,Europa League Qualifikation,Do. 20.08.2009,4-4-2 doppel 6,4.Runde Hinspiele,,405,Aston Villa,Peter Pacult,170,SK Rapid Wien,1:0,2009/10,19:15,17800
11,Europa League Qualifikation,Do. 27.08.2009,4-5-1,4.Runde Rückspiele,Peter Pacult,170,SK Rapid Wien,,405,Aston Villa,2:1,2009/10,20:00,22563
12,Bundesliga,Mi. 25.11.2009,4-4-2 doppel 6,1,,122,SK Sturm Graz,Peter Pacult,170,SK Rapid Wien,2:1,2009/10,19:00,17200
13,Bundesliga,So. 26.07.2009,4-4-2,2,Peter Pacult,170,SK Rapid Wien,,856,SV Mattersburg,2:1,2009/10,17:00,12000
14,Bundesliga,So. 02.08.2009,4-4-2,3,,11609,SK Austria Kärnten,Peter Pacult,170,SK Rapid Wien,5:1,2009/10,17:00,15000
15,Bundesliga,So. 09.08.2009,4-4-2 doppel 6,4,Peter Pacult,170,SK Rapid Wien,,266,SV Ried,1:1,2009/10,19:30,7600
16,Bundesliga,So. 23.08.2009,4-4-2 doppel 6,5,,413,LASK,Peter Pacult,170,SK Rapid Wien,4:1,2009/10,19:30,17100
17,Bundesliga,So. 30.08.2009,4-4-2 doppel 6,6,Peter Pacult,170,SK Rapid Wien,,14,FK Austria Wien,1:1,2009/10,17:00,13135
18,Bundesliga,So. 13.09.2009,4-5-1,7,,409,Red Bull Salzburg,Peter Pacult,170,SK Rapid Wien,2:2,2009/10,16:00,17500
19,Bundesliga,Mi. 23.09.2009,4-5-1,8,Peter Pacult,170,SK Rapid Wien,,2394,SV Kapfenberg,0:1,2009/10,19:30,6250
20,Bundesliga,Sa. 26.09.2009,4-4-2,9,,17444,SC Wiener Neustadt,Peter Pacult,170,SK Rapid Wien,3:1,2009/10,18:00,17000
21,Bundesliga,So. 04.10.2009,4-4-2 doppel 6,10,Peter Pacult,170,SK Rapid Wien,,17444,SC Wiener Neustadt,0:4,2009/10,18:00,7030
22,Bundesliga,So. 18.10.2009,4-5-1,11,Peter Pacult,170,SK Rapid Wien,,122,SK Sturm Graz,1:0,2009/10,15:30,15322
23,Bundesliga,So. 25.10.2009,4-4-2 Raute,12,,856,SV Mattersburg,Peter Pacult,170,SK Rapid Wien,4:0,2009/10,18:00,17200
24,Bundesliga,Mi. 28.10.2009,4-4-2,13,Peter Pacult,170,SK Rapid Wien,,11609,SK Austria Kärnten,1:3,2009/10,20:30,9000
25,Bundesliga,Sa. 31.10.2009,4-4-2,14,,266,SV Ried,Peter Pacult,170,SK Rapid Wien,1:0,2009/10,18:00,16000
26,Bundesliga,So. 08.11.2009,4-4-2,15,Peter Pacult,170,SK Rapid Wien,,413,LASK,3:3,2009/10,18:00,13200
27,Bundesliga,So. 22.11.2009,4-4-2 doppel 6,16,,14,FK Austria Wien,Peter Pacult,170,SK Rapid Wien,4:1,2009/10,15:30,17500
28,Bundesliga,So. 29.11.2009,4-4-2,17,Peter Pacult,170,SK Rapid Wien,,409,Red Bull Salzburg,0:0,2009/10,15:30,20685
29,Bundesliga,Sa. 05.12.2009,4-4-2 Raute,18,,2394,SV Kapfenberg,Peter Pacult,170,SK Rapid Wien,3:1,2009/10,18:00,15300
30,Bundesliga,Sa. 12.12.2009,4-4-2,19,,266,SV Ried,Peter Pacult,170,SK Rapid Wien,2:1,2009/10,18:00,15300
31,Bundesliga,Fr. 12.02.2010,4-4-2 doppel 6,20,Peter Pacult,170,SK Rapid Wien,,413,LASK,4:2,2009/10,19:30,9400
32,Bundesliga,Fr. 19.02.2010,4-4-2 doppel 6,21,Peter Pacult,170,SK Rapid Wien,,17444,SC Wiener Neustadt,2:2,2009/10,19:30,6400
33,Bundesliga,So. 28.02.2010,4-4-2 Raute,22,,409,Red Bull Salzburg,Peter Pacult,170,SK Rapid Wien,0:1,2009/10,15:30,17500
34,Bundesliga,So. 07.03.2010,4-4-2 doppel 6,23,Peter Pacult,170,SK Rapid Wien,,2394,SV Kapfenberg,2:2,2009/10,15:30,4860
35,Bundesliga,So. 14.03.2010,4-4-2 doppel 6,24,,14,FK Austria Wien,Peter Pacult,170,SK Rapid Wien,2:0,2009/10,15:30,17500
36,Bundesliga,Sa. 20.03.2010,4-5-1,25,Peter Pacult,170,SK Rapid Wien,,122,SK Sturm Graz,1:1,2009/10,18:00,15342
37,Bundesliga,Di. 23.03.2010,4-4-2 Raute,26,,856,SV Mattersburg,Peter Pacult,170,SK Rapid Wien,3:0,2009/10,20:30,15000
38,Bundesliga,Sa. 27.03.2010,4-4-2,27,Peter Pacult,170,SK Rapid Wien,,11609,SK Austria Kärnten,2:4,2009/10,18:00,5000
